epoch,loss,accuracy
1,4.787747479756673,0.008666666666666666
2,4.78763675181071,0.007666666666666666
3,4.78758112970988,0.0069166666666666664
4,4.787473682403564,0.008583333333333333
5,4.787297515869141,0.00825
6,4.787063365936279,0.007833333333333333
7,4.786784222920736,0.011083333333333334
8,4.78623316192627,0.010916666666666667
9,4.785030064900716,0.012666666666666666
10,4.7794813067118325,0.016416666666666666
11,4.7026292419433595,0.01825
12,4.606017725626628,0.02266666666666667
13,4.549536641438802,0.02475
14,4.493079343159994,0.024916666666666667
15,4.441801467259725,0.02825
16,4.402415098826091,0.030583333333333334
17,4.380093185424805,0.0345
18,4.333073403040568,0.03925
19,4.28451299349467,0.04416666666666667
20,4.202096041997274,0.049666666666666665
21,4.118708005905152,0.057833333333333334
22,4.065542407989502,0.06508333333333334
23,4.0315718072255455,0.06858333333333333
24,3.980614549001058,0.0755
25,3.9538434371948243,0.07733333333333334
26,3.898283224105835,0.085
27,3.8716196530659994,0.08666666666666667
28,3.7968742949167886,0.09925
29,3.7652150910695394,0.10233333333333333
30,3.7299612305959067,0.10891666666666666
31,3.657464402516683,0.119
32,3.6071821829477946,0.1225
33,3.5441803913116456,0.13708333333333333
34,3.484626242955526,0.14241666666666666
35,3.425688777923584,0.15641666666666668
36,3.3616642462412516,0.1705
37,3.309259796778361,0.178
38,3.2281342334747314,0.18866666666666668
39,3.1566693890889486,0.20725
40,3.0836929346720376,0.217
41,3.004366352717082,0.23416666666666666
42,2.9182808939615885,0.25616666666666665
43,2.822737769762675,0.27325
44,2.736350331624349,0.291
45,2.6079064095815023,0.31366666666666665
46,2.491509456952413,0.3345
47,2.403414312362671,0.356
48,2.2713244193394977,0.3869166666666667
49,2.09343532594045,0.42775
50,2.0031375217437746,0.45208333333333334
51,1.8319747695922852,0.49041666666666667
52,1.704458705107371,0.5174166666666666
53,1.5411426215171813,0.56075
54,1.3902977946599324,0.5970833333333333
55,1.228497002283732,0.6353333333333333
56,1.0896045974890392,0.68025
57,0.9730898389021556,0.714
58,0.8214829371770223,0.7559166666666667
59,0.7286368929545085,0.78075
60,0.6517369481722514,0.8054166666666667
61,0.5625010809898376,0.8294166666666667
62,0.5134723606904348,0.8438333333333333
63,0.4678726204633713,0.8590833333333333
64,0.37425196143984796,0.887
65,0.3723498609662056,0.8891666666666667
66,0.3311110460758209,0.9
67,0.3075435354510943,0.9064166666666666
68,0.25345722216864425,0.92425
69,0.24429973306755226,0.9263333333333333
70,0.21014556818207106,0.9384166666666667
71,0.2054911269247532,0.9384166666666667
72,0.20323280511858563,0.9383333333333334
73,0.18563931811352571,0.9475833333333333
74,0.16604921514789264,0.9525833333333333
75,0.15471987420941394,0.9525
76,0.14452250684425236,0.9580833333333333
77,0.141097555892542,0.95975
78,0.11963061155875523,0.9663333333333334
79,0.1254468345573793,0.9628333333333333
80,0.11953056994266809,0.9666666666666667
81,0.12086344141016404,0.9645833333333333
82,0.10615717060491443,0.9699166666666666
83,0.0891683619885395,0.97575
84,0.10579490644733111,0.9689166666666666
85,0.09454762383860846,0.9735833333333334
86,0.09336041632605095,0.9736666666666667
87,0.07108252163262417,0.9809166666666667
88,0.08118825231368343,0.9769166666666667
89,0.07765358919805537,0.97775
90,0.0911343596028164,0.9756666666666667
91,0.06881754730083048,0.9795833333333334
92,0.07216106822745254,0.9785
93,0.05600575351117489,0.986
94,0.05494221556683381,0.9845
95,0.05856721245124936,0.9839166666666667
96,0.05998749691868822,0.9846666666666667
97,0.06174133554333821,0.982
98,0.0609660419182231,0.9835
99,0.049432632245239805,0.9858333333333333
100,0.05397710220562294,0.9861666666666666
101,0.04629249950444015,0.9870833333333333
102,0.05055786260822788,0.987
103,0.04948929163115099,0.98725
104,0.04971253286662977,0.987
105,0.0364065860422949,0.989
106,0.038086815323447806,0.9885
107,0.039385049512299396,0.989
108,0.03614176757525032,0.9900833333333333
109,0.0423400774319889,0.9884166666666667
110,0.03654611530612844,0.9896666666666667
111,0.033000377856990476,0.9906666666666667
112,0.043992676430381836,0.98825
113,0.036772884963662364,0.9889166666666667
114,0.038618229796605494,0.989
115,0.03274965157173574,0.9916666666666667
116,0.03529823444946669,0.99025
117,0.030323082096331444,0.9906666666666667
118,0.03512990664698494,0.99075
119,0.034933095272863285,0.99175
120,0.02716630086871252,0.9924166666666666
